motif_id	sample_id	max_AF_region_count	max_FPS_region_count
CREB1_CREB1_HUMAN.H11MO.0.A	98JKPD8_lumA	5	10
CREB1_CREB1_HUMAN.H11MO.0.A	ANAB5F7_basal	5	14
CREB1_CREB1_HUMAN.H11MO.0.A	S6R691V_her2	3	0
CREB1_CREB1_HUMAN.H11MO.0.A	PU24GB8_lumB	3	3
CREB1_M08066_2.00	2GAMBDQ_norm	10	0
CREB1_M08066_2.00	98JKPD8_lumA	7	15
CREB1_M08066_2.00	S6R691V_her2	6	3
CREB1_M08066_2.00	PU24GB8_lumB	1	3
CREB1_M08066_2.00	ANAB5F7_basal	4	7
CREB1_MA0018.4	PU24GB8_lumB	6	4
CREB1_MA0018.4	ANAB5F7_basal	10	28
CREB1_MA0018.4	98JKPD8_lumA	16	13
CREB1_MA0018.4	2GAMBDQ_norm	22	1
CREB1_MA0018.4	S6R691V_her2	6	14
CREM_CREM_HUMAN.H11MO.0.C	98JKPD8_lumA	8	9
CREM_CREM_HUMAN.H11MO.0.C	ANAB5F7_basal	8	16
CREM_CREM_HUMAN.H11MO.0.C	PU24GB8_lumB	5	7
CREM_CREM_HUMAN.H11MO.0.C	S6R691V_her2	4	0
CREM_CREM_HUMAN.H11MO.0.C	2GAMBDQ_norm	15	8
CREM_MA0609.2	98JKPD8_lumA	11	15
CREM_MA0609.2	PU24GB8_lumB	2	5
CREM_MA0609.2	ANAB5F7_basal	5	16
CREM_MA0609.2	2GAMBDQ_norm	12	1
CREM_MA0609.2	S6R691V_her2	7	0
CRX_CRX_HUMAN.H11MO.0.B	PU24GB8_lumB	6	4
CRX_CRX_HUMAN.H11MO.0.B	98JKPD8_lumA	11	18
CRX_CRX_HUMAN.H11MO.0.B	ANAB5F7_basal	7	17
CRX_CRX_HUMAN.H11MO.0.B	S6R691V_her2	7	7
CRX_CRX_HUMAN.H11MO.0.B	2GAMBDQ_norm	16	1
CTCFL_CTCFL_HUMAN.H11MO.0.A	2GAMBDQ_norm	83	2
CTCFL_CTCFL_HUMAN.H11MO.0.A	98JKPD8_lumA	45	114
CTCFL_CTCFL_HUMAN.H11MO.0.A	ANAB5F7_basal	31	62
CTCFL_CTCFL_HUMAN.H11MO.0.A	PU24GB8_lumB	27	6
CTCFL_CTCFL_HUMAN.H11MO.0.A	S6R691V_her2	16	18
CTCFL_M07930_2.00	S6R691V_her2	19	17
CTCFL_M07930_2.00	PU24GB8_lumB	27	10
CTCFL_M07930_2.00	2GAMBDQ_norm	75	1
CTCFL_M07930_2.00	98JKPD8_lumA	40	80
CTCFL_M07930_2.00	ANAB5F7_basal	28	81
CTCFL_M08089_2.00	2GAMBDQ_norm	87	2
CTCFL_M08089_2.00	98JKPD8_lumA	44	80
CTCFL_M08089_2.00	ANAB5F7_basal	20	84
CTCFL_M08089_2.00	PU24GB8_lumB	26	14
CTCFL_M08089_2.00	S6R691V_her2	26	23
CTCFL_MA1102.2	PU24GB8_lumB	16	11
CTCFL_MA1102.2	S6R691V_her2	22	14
CTCFL_MA1102.2	ANAB5F7_basal	18	69
CTCFL_MA1102.2	98JKPD8_lumA	30	52
CTCFL_MA1102.2	2GAMBDQ_norm	62	2
CTCF_CTCF_HUMAN.H11MO.0.A	2GAMBDQ_norm	90	1
CTCF_CTCF_HUMAN.H11MO.0.A	98JKPD8_lumA	53	120
CTCF_CTCF_HUMAN.H11MO.0.A	ANAB5F7_basal	30	66
CTCF_CTCF_HUMAN.H11MO.0.A	PU24GB8_lumB	26	17
CTCF_CTCF_HUMAN.H11MO.0.A	S6R691V_her2	24	19
CTCF_M07862_2.00	98JKPD8_lumA	60	125
CTCF_M07862_2.00	2GAMBDQ_norm	105	2
CTCF_M07862_2.00	PU24GB8_lumB	33	17
CTCF_M07862_2.00	ANAB5F7_basal	28	82
CTCF_M07862_2.00	S6R691V_her2	27	27
CTCF_M07863_2.00	98JKPD8_lumA	44	106
CTCF_M07863_2.00	2GAMBDQ_norm	82	1
CTCF_M07863_2.00	S6R691V_her2	19	22
CTCF_M07863_2.00	PU24GB8_lumB	23	12
CTCF_M07863_2.00	ANAB5F7_basal	30	57
CTCF_M07864_2.00	2GAMBDQ_norm	67	2
CTCF_M07864_2.00	98JKPD8_lumA	36	53
CTCF_M07864_2.00	S6R691V_her2	20	20
CTCF_M07864_2.00	PU24GB8_lumB	21	10
